Column1;Column2;Column3;Column4;Column5;;;
Fecha y Hora;45992,58167;;;;;;
X;Y;Z;Gauss;mT;;;X
-37.5;150.0;-475.0;-462.91;;;;
0.0;150.0;-475.0;-459.68;;;;
37.5;150.0;-475.0;-458.89;;;;
75.0;150.0;-475.0;-460.27;;;;
112.5;150.0;-475.0;-463.89;;;;
150.0;150.0;-475.0;-469.58;;;;
187.5;150.0;-475.0;-477.67;;;;
225.0;150.0;-475.0;-488.68;;;;
262.5;150.0;-475.0;-503.17;;;;
262.5;112.5;-475.0;-485.09;;;;
225.0;112.5;-475.0;-472.96;;;;
187.5;112.5;-475.0;-463.36;;;;
150.0;112.5;-475.0;-456.2;;;;
112.5;112.5;-475.0;-451.14;;;;
75.0;112.5;-475.0;-447.97;;;;
37.5;112.5;-475.0;-446.72;;;;
0.0;112.5;-475.0;-447.24;;;;
-37.5;112.5;-475.0;-449.69;;;;
-75.0;112.5;-475.0;-454.25;;;;
-112.5;112.5;-475.0;-461.08;;;;
-150.0;112.5;-475.0;-470.64;;;;
-187.5;112.5;-475.0;-483.37;;;;
-225.0;112.5;-475.0;-500.42;;;;
-262.5;112.5;-475.0;-523.94;;;;
-262.5;75.0;-475.0;-502.76;;;;
-225.0;75.0;-475.0;-483.28;;;;
-187.5;75.0;-475.0;-468.85;;;;
-150.0;75.0;-475.0;-457.93;;;;
-112.5;75.0;-475.0;-449.94;;;;
-75.0;75.0;-475.0;-443.95;;;;
-37.5;75.0;-475.0;-440.18;;;;
0.0;75.0;-475.0;-438.15;;;;
37.5;75.0;-475.0;-437.8;;;;
75.0;75.0;-475.0;-439.0;;;;
112.5;75.0;-475.0;-441.76;;;;
150.0;75.0;-475.0;-446.18;;;;
187.5;75.0;-475.0;-452.5;;;;
225.0;75.0;-475.0;-460.96;;;;
262.5;75.0;-475.0;-472.16;;;;
262.5;37.5;-475.0;-464.3;;;;
225.0;37.5;-475.0;-454.21;;;;
187.5;37.5;-475.0;-446.1;;;;
150.0;37.5;-475.0;-440.17;;;;
112.5;37.5;-475.0;-435.83;;;;
75.0;37.5;-475.0;-433.19;;;;
37.5;37.5;-475.0;-432.01;;;;
0.0;37.5;-475.0;-432.3;;;;
-37.5;37.5;-475.0;-434.04;;;;
-75.0;37.5;-475.0;-437.4;;;;
-112.5;37.5;-475.0;-442.59;;;;
-150.0;37.5;-475.0;-449.77;;;;
-187.5;37.5;-475.0;-459.47;;;;
-225.0;37.5;-475.0;-472.21;;;;
-262.5;37.5;-475.0;-489.4;;;;
-262.5;0.0;-475.0;-481.93;;;;
-225.0;0.0;-475.0;-466.18;;;;
-187.5;0.0;-475.0;-454.22;;;;
-150.0;0.0;-475.0;-445.17;;;;
-112.5;0.0;-475.0;-438.41;;;;
-75.0;0.0;-475.0;-433.63;;;;
-37.5;0.0;-475.0;-430.46;;;;
0.0;0.0;-475.0;-428.8;;;;
37.5;0.0;-475.0;-428.64;;;;
75.0;0.0;-475.0;-429.79;;;;
112.5;0.0;-475.0;-432.34;;;;
150.0;0.0;-475.0;-436.42;;;;
187.5;0.0;-475.0;-442.1;;;;
225.0;0.0;-475.0;-449.78;;;;
262.5;0.0;-475.0;-459.88;;;;
262.5;-37.5;-475.0;-459.35;;;;
225.0;-37.5;-475.0;-449.42;;;;
187.5;-37.5;-475.0;-441.64;;;;
150.0;-37.5;-475.0;-435.71;;;;
112.5;-37.5;-475.0;-431.56;;;;
75.0;-37.5;-475.0;-428.81;;;;
37.5;-37.5;-475.0;-427.65;;;;
0.0;-37.5;-475.0;-427.79;;;;
-37.5;-37.5;-475.0;-429.25;;;;
-75.0;-37.5;-475.0;-432.4;;;;
-112.5;-37.5;-475.0;-437.12;;;;
-150.0;-37.5;-475.0;-443.75;;;;
-187.5;-37.5;-475.0;-452.6;;;;
-225.0;-37.5;-475.0;-464.24;;;;
-262.5;-37.5;-475.0;-479.92;;;;
-262.5;-75.0;-475.0;-482.86;;;;
-225.0;-75.0;-475.0;-466.76;;;;
-187.5;-75.0;-475.0;-454.77;;;;
-150.0;-75.0;-475.0;-445.57;;;;
-112.5;-75.0;-475.0;-438.63;;;;
-75.0;-75.0;-475.0;-433.7;;;;
-37.5;-75.0;-475.0;-430.54;;;;
0.0;-75.0;-475.0;-429.0;;;;
37.5;-75.0;-475.0;-428.92;;;;
75.0;-75.0;-475.0;-430.19;;;;
112.5;-75.0;-475.0;-432.91;;;;
150.0;-75.0;-475.0;-437.26;;;;
187.5;-75.0;-475.0;-443.28;;;;
225.0;-75.0;-475.0;-451.52;;;;
262.5;-75.0;-475.0;-462.18;;;;
